ZIP,City,County,Territory,,,,,,
80544,Niwot,Boulder,North,,,,,,
80545,Red Feather Lakes,Larimer,North,,,,,,
80546,Severance,Weld,North,,,,,,
80547,Timnath,Larimer,North,,,,,,
80549,Wellington,Larimer,North,,,,,,
80550,Windsor,Weld,North,,,,,,
80601,Brighton,Adams,North,,,,,,
80602,Brighton,Adams,North,,,,,,
80603,Brighton,Weld,North,,,,,,
80610,Ault,Weld,North,,,,,,
80611,Briggsdale,Weld,North,,,,,,
80612,Carr,Weld,North,,,,,,
80614,Eastlake,Adams,North,,,,,,
80615,Eaton,Weld,North,,,,,,
80620,Evans,Weld,North,,,,,,
80621,Fort Lupton,Weld,North,,,,,,
80622,Galeton,Weld,North,,,,,,
80623,Gilcrest,Weld,North,,,,,,
80624,Gill,Weld,North,,,,,,
80631,Greeley,Weld,North,,,,,,
80632,Greeley,Weld,North,,,,,,
80633,Greeley,Weld,North,,,,,,
80634,Greeley,Weld,North,,,,,,
80640,Henderson,Adams,North,,,,,,
80642,Hudson,Weld,North,,,,,,
80643,Keenesburg,Weld,North,,,,,,
80644,Kersey,Weld,North,,,,,,
80645,La Salle,Weld,North,,,,,,
80646,Lucerne,Weld,North,,,,,,
80648,Nunn,Weld,North,,,,,,
80649,Orchard,Morgan,North,,,,,,
80650,Pierce,Weld,North,,,,,,
80651,Platteville,Weld,North,,,,,,
80652,Roggen,Weld,North,,,,,,
80653,Weldona,Morgan,North,,,,,,
80654,Wiggins,Morgan,North,,,,,,
80701,Fort Morgan,Morgan,North,,,,,,
80705,Log Lane Village,Morgan,North,,,,,,
80722,Atwood,Logan,North,,,,,,
80723,Brush,Morgan,North,,,,,,
80729,Grover,Weld,North,,,,,,
80732,Hereford,Weld,North,,,,,,
80733,Hillrose,Morgan,North,,,,,,
80741,Merino,Logan,North,,,,,,
80742,New Raymer,Weld,North,,,,,,
80750,Snyder,Morgan,North,,,,,,
80751,Sterling,Logan,North,,,,,,
80754,Stoneham,Weld,North,,,,,,
80841,U S A F Academy,El Paso,North,,,,,,
80866,Woodland Park,Teller,North,,,,,,
80901,Colorado Springs,El Paso,North,,,,,,
80931,Colorado Springs,El Paso,North,,,,,,
80932,Colorado Springs,El Paso,North,,,,,,
80933,Colorado Springs,El Paso,North,,,,,,
80934,Colorado Springs,El Paso,North,,,,,,
80935,Colorado Springs,El Paso,North,,,,,,
80936,Colorado Springs,El Paso,North,,,,,,
80937,Colorado Springs,El Paso,North,,,,,,
80939,Colorado Springs,El Paso,North,,,,,,
80949,Colorado Springs,El Paso,North,,,,,,
80960,Colorado Springs,El Paso,North,,,,,,
80962,Colorado Springs,El Paso,North,,,,,,
80970,Colorado Springs,El Paso,North,,,,,,
81002,Pueblo,Pueblo,North,,,,,,
81121,Arboles,Archuleta,North,,,,,,
81215,Canon City,Fremont,North,,,,,,
81222,Coaldale,Fremont,North,,,,,,
81227,Monarch,Chaffee,North,,,,,,
81232,Hillside,Fremont,North,,,,,,
81242,Poncha Springs,Chaffee,North,,,,,,
81433,Silverton,San Juan,North,,,,,,
81655,Wolcott,Eagle,North,,,,,,
80014,Aurora,Arapahoe,South,,,,,,
80015,Aurora,Arapahoe,South,,,,,,
80033,Wheat Ridge,Jefferson,South,,,,,,
80102,Bennett,Adams,South,,,,,,
80104,Castle Rock,Douglas,South,,,,,,
80106,Elbert,El Paso,South,,,,,,
80107,Elizabeth,Elbert,South,,,,,,
80108,Castle Rock,Douglas,South,,,,,,
80109,Castle Rock,Douglas,South,,,,,,
80110,Englewood,Arapahoe,South,,,,,,
80111,Englewood,Arapahoe,South,,,,,,
80112,Englewood,Arapahoe,South,,,,,,
80113,Englewood,Arapahoe,South,,,,,,
80116,Franktown,Douglas,South,,,,,,
80117,Kiowa,Elbert,South,,,,,,
80118,Larkspur,Douglas,South,,,,,,
80120,Littleton,Arapahoe,South,,,,,,
80121,Littleton,Arapahoe,South,,,,,,
80122,Littleton,Arapahoe,South,,,,,,
80123,Littleton,Jefferson,South,,,,,,
80124,Littleton,Douglas,South,,,,,,
80125,Littleton,Douglas,South,,,,,,
80126,Littleton,Douglas,South,,,,,,
80127,Littleton,Jefferson,South,,,,,,
80128,Littleton,Jefferson,South,,,,,,
80129,Littleton,Douglas,South,,,,,,
80131,Louviers,Douglas,South,,,,,,
80132,Monument,El Paso,South,,,,,,
80133,Palmer Lake,El Paso,South,,,,,,
80135,Sedalia,Douglas,South,,,,,,
80137,Watkins,Adams,South,,,,,,
80202,Denver,Denver,South,,,,,,
80203,Denver,Denver,South,,,,,,
80204,Denver,Denver,South,,,,,,
80206,Denver,Denver,South,,,,,,
80212,Denver,Denver,South,,,,,,
80214,Denver,Jefferson,South,,,,,,
80215,Denver,Jefferson,South,,,,,,
80218,Denver,Denver,South,,,,,,
80219,Denver,Denver,South,,,,,,
80226,Denver,Jefferson,South,,,,,,
80227,Denver,Jefferson,South,,,,,,
80228,Denver,Jefferson,South,,,,,,
80232,Denver,Jefferson,South,,,,,,
80235,Denver,Jefferson,South,,,,,,
80236,Denver,Denver,South,,,,,,
80237,Denver,Denver,South,,,,,,
80401,Golden,Jefferson,South,,,,,,
80420,Alma,Park,South,,,,,,
80421,Bailey,Park,South,,,,,,
80422,Black Hawk,Gilpin,South,,,,,,
80423,Bond,Eagle,South,,,,,,
80424,Breckenridge,Summit,South,,,,,,
80427,Central City,Gilpin,South,,,,,,
80432,Como,Park,South,,,,,,
80433,Conifer,Jefferson,South,,,,,,
80435,Dillon,Summit,South,,,,,,
80437,Evergreen,Jefferson,South,,,,,,
80438,Empire,Clear Creek,South,,,,,,
80439,Evergreen,Jefferson,South,,,,,,
80440,Fairplay,Park,South,,,,,,
80443,Frisco,Summit,South,,,,,,
80444,Georgetown,Clear Creek,South,,,,,,
80448,Grant,Park,South,,,,,,
80449,Hartsel,Park,South,,,,,,
80452,Idaho Springs,Clear Creek,South,,,,,,
80454,Indian Hills,Jefferson,South,,,,,,
80456,Jefferson,Park,South,,,,,,
80457,Kittredge,Jefferson,South,,,,,,
80461,Leadville,Lake,South,,,,,,
80465,Morrison,Jefferson,South,,,,,,
80470,Pine,Jefferson,South,,,,,,
80476,Silver Plume,Clear Creek,South,,,,,,
80482,Winter Park,Grand,South,,,,,,
80497,Silverthorne,Summit,South,,,,,,
80498,Silverthorne,Summit,South,,,,,,
80808,Calhan,El Paso,South,,,,,,
80809,Cascade,El Paso,South,,,,,,
80813,Cripple Creek,Teller,South,,,,,,
80814,Divide,Teller,South,,,,,,
80816,Florissant,Teller,South,,,,,,
80817,Fountain,El Paso,South,,,,,,
80819,Genoa,Lincoln,South,,,,,,
80820,Guffey,Park,South,,,,,,
80827,Lake George,Park,South,,,,,,
80828,Limon,Lincoln,South,,,,,,
80829,Manitou Springs,El Paso,South,,,,,,
